,fit_time,score_time,estimator,test_score,train_score,n_train,n_test,repeat,fold,cv_mdsum,model
0,204.659729719162,0.004668235778808594,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-21.282180248982336,-15.697086469656243,555,278,0,0,37efbbbe2c384167b80761d2dd75552b,XGBoost
1,201.23032069206238,0.0055539608001708984,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-21.129195177239517,-15.45641836778629,555,278,0,1,37efbbbe2c384167b80761d2dd75552b,XGBoost
2,192.39823818206787,0.004630088806152344,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-19.74111099542177,-15.467698904955201,556,277,0,2,37efbbbe2c384167b80761d2dd75552b,XGBoost
3,192.8765904903412,0.004648685455322266,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-19.808031537819986,-15.490876959557415,555,278,1,0,37efbbbe2c384167b80761d2dd75552b,XGBoost
4,196.14255928993225,0.004595279693603516,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-20.8618826234504,-15.206767128954672,555,278,1,1,37efbbbe2c384167b80761d2dd75552b,XGBoost
5,205.7494797706604,0.004666328430175781,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-20.81226050556253,-15.689452423319691,556,277,1,2,37efbbbe2c384167b80761d2dd75552b,XGBoost
6,193.0995500087738,0.004652500152587891,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-22.068017372179447,-14.574390303897834,555,278,2,0,37efbbbe2c384167b80761d2dd75552b,XGBoost
7,195.40225195884705,0.004686117172241211,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-19.734315779267927,-16.525856090054425,555,278,2,1,37efbbbe2c384167b80761d2dd75552b,XGBoost
8,192.99648571014404,0.004708051681518555,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-20.897088915664785,-15.480829650926694,556,277,2,2,37efbbbe2c384167b80761d2dd75552b,XGBoost
9,198.76360845565796,0.004679203033447266,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('gradientboost',
                                        GradientBoostingRegressor(random_state=42))]),
             param_grid={'gradientboost__max_depth': [3, 5, 10],
                         'gradientboost__n_estimators': [25, 50, 100]})",-21.010178091015753,-15.663454424366986,555,278,3,0,37efbbbe2c384167b80761d2dd75552b,XGBoost
