,fit_time,score_time,estimator,test_score,train_score,n_train,n_test,repeat,fold,cv_mdsum,model
0,234.05619263648987,0.013043403625488281,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.423870778963829,-3.441469397328704,555,278,0,0,37efbbbe2c384167b80761d2dd75552b,RF
1,216.2588963508606,0.007443904876708984,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.580737778599083,-5.3863359764187395,555,278,0,1,37efbbbe2c384167b80761d2dd75552b,RF
2,235.93500757217407,0.010783910751342773,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-6.966551335335577,-2.7877877864247944,556,277,0,2,37efbbbe2c384167b80761d2dd75552b,RF
3,226.7623324394226,0.01036977767944336,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.366725819943445,-2.788467564867565,555,278,1,0,37efbbbe2c384167b80761d2dd75552b,RF
4,193.28811836242676,0.009323835372924805,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.282519039129383,-5.476011991012271,555,278,1,1,37efbbbe2c384167b80761d2dd75552b,RF
5,189.13831853866577,0.008735179901123047,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.501457307983713,-5.495749875517011,556,277,1,2,37efbbbe2c384167b80761d2dd75552b,RF
6,203.49449396133423,0.013910531997680664,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.245064620624173,-3.5679914421128562,555,278,2,0,37efbbbe2c384167b80761d2dd75552b,RF
7,192.39365458488464,0.008255481719970703,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.41535912300424,-5.464950902790823,555,278,2,1,37efbbbe2c384167b80761d2dd75552b,RF
8,193.18973779678345,0.011103391647338867,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-6.935336667803401,-5.481799654424364,556,277,2,2,37efbbbe2c384167b80761d2dd75552b,RF
9,198.91312742233276,0.015111923217773438,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.299439233282364,-2.71054908706616,555,278,3,0,37efbbbe2c384167b80761d2dd75552b,RF
10,208.68359518051147,0.01194620132446289,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.446087419479567,-5.445672711450058,555,278,3,1,37efbbbe2c384167b80761d2dd75552b,RF
