,fit_time,score_time,estimator,test_score,train_score,n_train,n_test,repeat,fold,cv_mdsum,model
0,279.96472907066345,0.04672956466674805,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.122936710793463,-6.549280094595366,555,278,0,0,37efbbbe2c384167b80761d2dd75552b,SVM
1,253.0673258304596,0.039948463439941406,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.477970686548699,-6.464293932709083,555,278,0,1,37efbbbe2c384167b80761d2dd75552b,SVM
2,280.95407032966614,0.020760774612426758,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.125022954131776,-6.823405989552631,556,277,0,2,37efbbbe2c384167b80761d2dd75552b,SVM
3,311.20696234703064,0.01932811737060547,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.164287166830689,-6.285529372236708,555,278,1,0,37efbbbe2c384167b80761d2dd75552b,SVM
4,255.7550573348999,0.018663883209228516,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.260456009094079,-7.124919348183948,555,278,1,1,37efbbbe2c384167b80761d2dd75552b,SVM
5,348.3132162094116,0.06756806373596191,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.443646860954398,-6.414038006754235,556,277,1,2,37efbbbe2c384167b80761d2dd75552b,SVM
6,327.8597249984741,0.0673823356628418,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.405226039927331,-6.730726999256028,555,278,2,0,37efbbbe2c384167b80761d2dd75552b,SVM
7,292.44142174720764,0.024838924407958984,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.5345085803635605,-7.07683574124998,555,278,2,1,37efbbbe2c384167b80761d2dd75552b,SVM
8,278.49575424194336,0.04663515090942383,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-6.88647812585448,-6.70759832299607,556,277,2,2,37efbbbe2c384167b80761d2dd75552b,SVM
9,285.30041217803955,0.04714345932006836,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-7.224802791976123,-6.801352003504771,555,278,3,0,37efbbbe2c384167b80761d2dd75552b,SVM
