,fit_time,score_time,estimator,test_score,train_score,n_train,n_test,repeat,fold,cv_mdsum,model
0,149.36427426338196,0.006285667419433594,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-22.203183812726106,-14.605836590187462,555,278,0,0,37efbbbe2c384167b80761d2dd75552b,RF
1,164.15621662139893,0.010148048400878906,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-19.84253363680842,-7.723577125294261,555,278,0,1,37efbbbe2c384167b80761d2dd75552b,RF
2,160.5735399723053,0.010364294052124023,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-19.861733302247288,-8.06733644705115,556,277,0,2,37efbbbe2c384167b80761d2dd75552b,RF
3,160.02074432373047,0.010277748107910156,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-21.883808840424816,-7.529429006467753,555,278,1,0,37efbbbe2c384167b80761d2dd75552b,RF
4,160.40549397468567,0.00931239128112793,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-20.86623206148028,-9.81614395684054,555,278,1,1,37efbbbe2c384167b80761d2dd75552b,RF
5,152.17023992538452,0.008132696151733398,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-20.005970385677937,-15.195747220847178,556,277,1,2,37efbbbe2c384167b80761d2dd75552b,RF
6,158.64425826072693,0.009207487106323242,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-21.542124477128365,-9.156705452140011,555,278,2,0,37efbbbe2c384167b80761d2dd75552b,RF
7,156.13574743270874,0.007935523986816406,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-20.56397406615335,-15.46840884387782,555,278,2,1,37efbbbe2c384167b80761d2dd75552b,RF
8,158.58990907669067,0.0094451904296875,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-19.98019383690293,-9.447467599368151,556,277,2,2,37efbbbe2c384167b80761d2dd75552b,RF
9,156.8436450958252,0.009565591812133789,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-20.45520839951117,-9.288260129334525,555,278,3,0,37efbbbe2c384167b80761d2dd75552b,RF
