,fit_time,score_time,estimator,test_score,train_score,n_train,n_test,repeat,fold,cv_mdsum,model
0,142.65086197853088,0.01735997200012207,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-22.34052477987498,-18.3390942590387,555,278,0,0,37efbbbe2c384167b80761d2dd75552b,SVM
1,120.72100377082825,0.017662525177001953,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-19.989771354613374,-19.10994464452115,555,278,0,1,37efbbbe2c384167b80761d2dd75552b,SVM
2,118.12483358383179,0.015564441680908203,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-20.07462016891257,-17.841384411045976,556,277,0,2,37efbbbe2c384167b80761d2dd75552b,SVM
3,118.47330856323242,0.01900959014892578,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-22.160683932218312,-18.734173058084753,555,278,1,0,37efbbbe2c384167b80761d2dd75552b,SVM
4,161.48688578605652,0.016333818435668945,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-21.09842969726627,-16.632174365606996,555,278,1,1,37efbbbe2c384167b80761d2dd75552b,SVM
5,116.50902056694031,0.016448497772216797,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-20.081122205777106,-19.978117747014156,556,277,1,2,37efbbbe2c384167b80761d2dd75552b,SVM
6,115.41325259208679,0.018445253372192383,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-21.46589261155759,-18.859863370486906,555,278,2,0,37efbbbe2c384167b80761d2dd75552b,SVM
7,115.56824588775635,0.0176694393157959,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-20.31729621177829,-18.975858662792547,555,278,2,1,37efbbbe2c384167b80761d2dd75552b,SVM
8,174.51446962356567,0.021825551986694336,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-20.18150599737086,-20.910692859954743,556,277,2,2,37efbbbe2c384167b80761d2dd75552b,SVM
9,174.4809808731079,0.018248319625854492,"BayesSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
              estimator=Pipeline(steps=[('set_column_types',
                                         SetColumnTypes(X_types={})),
                                        ('zscore', StandardScaler()),
                                        ('svm', SVR(kernel='linear'))]),
              search_spaces=[{'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR(kernel='linear')],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'zscore': [StandardScaler()]},
                             {'set_column_types': [SetColumnTypes(X_types={})],
                              'svm': [SVR()],
                              'svm__C': (1e-06, 1, 'log-uniform'),
                              'svm__epsilon': (0.01, 3, 'log-uniform'),
                              'svm__gamma': [1e-05, 0.0001, 0.001, 0.01,
                                             'scale', 'auto'],
                              'svm__kernel': ['rbf', 'sigmoid'],
                              'zscore': [StandardScaler()]}])",-20.638430092306958,-18.50727149612823,555,278,3,0,37efbbbe2c384167b80761d2dd75552b,SVM
