,fit_time,score_time,estimator,test_score,train_score,n_train,n_test,repeat,fold,cv_mdsum,model
0,168.58260703086853,0.006975650787353516,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.286285541917888,-5.115545578589307,555,278,0,0,37efbbbe2c384167b80761d2dd75552b,RF
1,170.7635567188263,0.005871772766113281,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.255016411676448,-5.405088454899613,555,278,0,1,37efbbbe2c384167b80761d2dd75552b,RF
2,178.39449858665466,0.009153366088867188,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-6.973740155120144,-5.475096343514263,556,277,0,2,37efbbbe2c384167b80761d2dd75552b,RF
3,181.9597885608673,0.011126518249511719,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.075432228792686,-3.294177380840635,555,278,1,0,37efbbbe2c384167b80761d2dd75552b,RF
4,180.98036456108093,0.010846853256225586,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.327080793340682,-5.184286075232863,555,278,1,1,37efbbbe2c384167b80761d2dd75552b,RF
5,185.93419241905212,0.009189605712890625,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.13713837652771,-5.313365838063249,556,277,1,2,37efbbbe2c384167b80761d2dd75552b,RF
6,162.89918780326843,0.0078084468841552734,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.4262352421812725,-5.324501951364138,555,278,2,0,37efbbbe2c384167b80761d2dd75552b,RF
7,157.58883118629456,0.009256839752197266,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-6.831519820400167,-3.141310961579139,555,278,2,1,37efbbbe2c384167b80761d2dd75552b,RF
8,162.20073223114014,0.010092020034790039,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.2114327401755665,-2.6383471553733058,556,277,2,2,37efbbbe2c384167b80761d2dd75552b,RF
9,157.48989415168762,0.007985115051269531,"GridSearchCV(cv=KFold(n_splits=5, random_state=None, shuffle=False),
             estimator=Pipeline(steps=[('set_column_types',
                                        SetColumnTypes(X_types={})),
                                       ('zscore', StandardScaler()),
                                       ('rf', RandomForestRegressor())]),
             param_grid={'rf__max_depth': [5, 10, 20],
                         'rf__n_estimators': [25, 50, 100]})",-7.078237551041341,-5.327850717221963,555,278,3,0,37efbbbe2c384167b80761d2dd75552b,RF
